iter	Passed	Remaining
278	67181	173613
279	67410	173340
280	67626	173036
281	67977	173076
282	68228	172860
283	68493	172681
284	68809	172627
285	69085	172472
286	69364	172323
287	69656	172207
288	69857	171863
289	70127	171691
290	70394	171511
291	70628	171249
292	70914	171115
293	71149	170856
294	71376	170576
295	71627	170358
296	71901	170192
297	72106	169861
298	72326	169567
299	72588	169373
300	72828	169126
301	73061	168863
302	73286	168582
303	73475	168220
304	73728	168004
305	73966	167754
306	74224	167549
307	74429	167224
308	74603	166831
309	74810	166512
310	74990	166136
311	75213	165856
312	75406	165508
313	75664	165304
314	75878	165004
315	76101	164725
316	76440	164695
317	76713	164524
318	77019	164420
319	77233	164120
320	77454	163836
321	77694	163592
322	77902	163281
323	78135	163023
324	78356	162740
325	78589	162482
326	78791	162160
327	79023	161901
328	79241	161613
329	79402	161211
330	79615	160914
331	79865	160693
332	80106	160453
333	80379	160277
334	80574	159947
335	80817	159710
336	81030	159415
337	81237	159110
338	81461	158837
339	81756	158703
340	82107	158677
341	82422	158578
342	82697	158403
343	82918	158122
344	83168	157898
345	83418	157675
346	83734	157574
347	84087	157542
348	84295	157238
349	84560	157040
350	84758	156718
351	84994	156467
352	85212	156182
353	85456	155945
354	85646	155611
355	85843	155289
356	86023	154938
357	86321	154799
358	86613	154649
359	86864	154426
360	87123	154215
361	87425	154081
362	87686	153874
363	88005	153767
364	88309	153633
365	88593	153465
366	88883	153306
367	89103	153024
368	89399	152875
369	89655	152655
370	89927	152464
371	90166	152216
372	90452	152047
373	90683	151786
374	90955	151592
375	91257	151449
376	91646	151447
377	91963	151326
378	92294	151226
379	92617	151112
380	92822	150805
381	93012	150475
382	93252	150227
383	93542	150057
384	93835	149893
385	94132	149733
386	94416	149553
387	94683	149346
388	95022	149252
389	95289	149041
390	95548	148821
391	95812	148607
392	96054	148359
393	96264	148061
394	96536	147859
395	96742	147556
396	97009	147347
397	97333	147223
398	97727	147202
